channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
Qara Gaming,385031,10,0,0,0,0,0,0,0,0,0
сыр,174824142,154000,126,78741,4474,198,3022477,180862,398,0,78741
原神-Genshin-公式,207973916,2120000,2245,692002,27730,730,4031999,115462,179,0,692002
Stuff Around,190126289,967,1954,381,14,1,12960034,139369,198,0,381
Genshin Impact · Cloud - Topic,37620854,56,0,0,0,0,0,0,0,0,0
Genshin Impact Moments,290359497,3080,54,789,27,0,3185177,90614,120,0,789
Hannif Channel,400175231,5730,1976,590,16,3,2037501,36422,38,0,590
GodDoggosGenshin,171190505,8410,23,8394,482,78,2265981,353055,785,3,8394
Luck Seekers,112370918,11000,974,15982,976,46,11843201,513934,1216,1,15982
MMOJACKX57,351573685,153000,9278,48906,2120,76,5809046,113068,189,0,48906
꒰ aiko ꒱ ,22835797,143,0,0,0,0,0,0,0,0,0
flattiboy,297276446,1170000,235,541727,18863,1558,11879560,163781,221,0,541727
HydraTV: Đạt Rất Nghiêm Túc,166218874,303000,2081,28559,903,185,1814054,33340,40,0,28559
tnbee,188219329,273000,499,966798,17498,388,19497341,1252686,878,0,966798
CartharsisYT,230610299,52400,1873,8850,455,56,8855100,59742,119,0,8850
justheli,270738636,27,32,296,8,5,4507597,3877906,4061,64,296
ريبلاي | REPLAY,348877179,186000,1135,115718,7935,367,21624681,220068,584,0,115718
Genshin Channel,145042475,317,72,10072,530,12,657712,11238953,22920,13,10072
Gacht,100765201,77900,299,21557,1831,188,1544824,97885,322,0,21557
Amaan - Genshin Impact,145885166,2270,3,10590,783,124,172808,1650211,4728,19,10590
Cowcow_is_senpai,27247447,45,11,0,0,0,0,0,0,0,0
KG Channel Genshin Impact,148002693,5,4,51,1,0,149434,3608025,2741,0,51
Dragon2,187903258,7840,43,98652,4592,160,12082553,4451017,8029,7,98652
Stormz67,135354205,615000,89,5794347,322504,2092,4478635,3332719,7188,1,5794347
Kirby Kyra,344208151,3470,868,12205,186,12,12368826,1244164,734,1,12205
dillongoo,445033807,1450000,140,3159715,173425,2279,10747434,770813,1639,0,3159715
Genshin Impact - Topic,212783777,528000,0,0,0,0,0,0,0,0,0
4K Genshin,164150508,67,35,2706,87,3,3414743,14286387,17801,15,2706
BookSmartsWithZhongliandNeuvi,487575,6,6,1079,18,0,80820,63612085,41127,0,1079
Genshin Impact Story,8068817,1,3,7,1,1,80516,2476096,13709,348,7
Genshin Impact Archive,102787055,5,67,324,16,1,1027830,22921574,43868,69,324
Only Genshin Impact,155951812,4,7,174,5,0,1008522,15387168,17136,0,174
Tenha,368208014,450000,1094,902751,51176,376,10713400,709618,1559,0,902751
Enthralpy,399563610,149000,162,1689151,121552,839,8278396,4010067,11183,1,1689151
Spielestyler - Genshin Impact,103899391,4890,4010,731,33,3,11126619,52878,92,0,731
GenshinImpact myanmar guild channel,92525307,2,1,140,0,0,0,24760960,0,0,140
ImNotAkane,308569,5,3,876,19,1,262735,61973145,52094,69,876
💗 GenshinImpact channel 💞,128568600,14,27,3,2,0,9389,75798,1958,0,3
Thinknoodles,451728742,12800000,7099,4105651,98369,3478,42278631,113459,105,0,4105651
PandaKot,422263815,202000,1913,178952,16575,551,16331475,313367,1124,0,178952
原神,148083278,318000,485,307066,7919,472,11260388,341565,341,0,307066
Rubhen925,489906851,555000,7118,467957,6092,426,21794480,298251,150,0,467957
Amethyst Plays Genshin Impact,25929838,46,45,2007,74,2,1520015,15433306,22053,15,2007
Nagai Genshin,108052744,39,27,954,36,1,490297,8652731,12654,8,954
ElevenZ Gaming,120266603,316000,1189,422438,18883,156,1589232,472873,819,0,422438
Genshin Impact HD,342777535,12,58,12,1,1,599763,353728,1142,29,12
Zhongli's Realm,269738627,34200,249,10497,467,213,1395095,108569,187,2,10497
New life with genshin impact ,17596055,3,1,9,2,0,0,1061184,9139,0,9
HiroisLive,290395637,71500,876,20587,1169,136,4638733,101848,224,0,20587
Zannir,174740883,369000,246,1312725,101978,999,11055055,1258394,3788,0,1312725
M’s Genshin Impact Adventure,159490506,11,50,100,3,1,5673084,3215709,3738,31,100
Genshin Impact Korean Dub (Discontinued),115420414,15,66,57,1,0,917065,1344166,913,0,57
Soran_Channel,152673991,17100,128,16943,1082,75,4959586,350480,867,1,16943
Genshin Impact Denmark,140523428,6,12,53,4,0,1561901,3124597,9139,0,53
ARMDUN,355509510,41200,1189,38243,911,103,4341121,328340,303,0,38243
Genshin News,96144437,1,3,0,0,0,0,0,0,0,0
Slick,349252115,9060,1182,73900,3841,72,8552900,2885264,5811,2,73900
Handa SzK,134196248,30,10,143,6,0,426070,1686103,2741,0,143
Total Genshin Impact,105628056,5,12,145,5,0,3705994,10258112,13709,0,145
Hatake Fox,185804266,24800,192,16389,1118,200,10286592,233760,618,2,16389
Avky Channel,440371468,546,90,1579,81,8,14742161,1022960,2033,5,1579
Rentaro Galon,11384082,61,74,76,4,0,645947,440710,898,0,76
OverMos Channel,161377215,57100,2768,5865,87,32,16524482,36333,20,0,5865
Vanilla Impact,145555619,377000,2785,105772,3294,199,3427918,99242,119,0,105772
AoDzTo - อ๊อดโตะ,159727245,114000,1218,81000,2851,68,13392096,251333,342,0,81000
DeusAuri,103880069,1160,32,5351,255,24,4642781,1631722,3013,7,5351
AetherNova,317486,4,3,3,0,0,67213,265296,0,0,3
Shimetsu,118411138,16100,1377,4403,175,23,1463582,96736,149,0,4403
Zy0x,354368893,860000,432,902673,45971,564,6728973,371279,732,0,902673
Genshin Impact 🔥,182013971,10,4,425,16,0,7402338,15033440,21934,0,425
Vfx Impact,231235,1,2,137,3,0,161139,48460736,41127,0,137
ShiruTV_,184237409,40000,1707,13257,679,28,9684580,117234,232,0,13257
Genshin Impact simp station,101430611,13,9,564,13,0,3422548,15346353,13709,0,564
Qiqi Genshin Impact,173117700,16200,871,38996,964,124,12758224,851480,815,2,38996
Bumi Bakudan,99666522,10300,1156,8862,215,17,4036897,304343,286,0,8862
MarcoMeatball,152503526,464000,1960,150253,8684,348,14107364,114544,256,0,150253
Mattjestic MultiGaming,207241331,246000,1417,81329,1751,195,6673993,116944,97,0,81329
GENSHIN IMPACT TV,130262514,3,3,62,2,0,222531,7310378,9139,0,62
ennieee,443598195,23200,289,105784,10015,88,12177041,1612877,5917,1,105784
SharkH3art,152068679,109000,487,362094,11299,468,10271196,1175071,1421,1,362094
antonychenn,173321831,1650000,330,734305,52059,528,10847678,157420,432,0,734305
Noah,7826384,38,19,1568,51,5,578285,14595934,18398,45,1568
genshin channel,94848614,19,0,0,0,0,0,0,0,0,0
How to Genshin Impact,125673001,2,12,82,0,0,27437,14502848,0,0,82
Wolfesempai89,50623334,354,42,1026,36,2,2779779,1025211,1394,1,1026
Kekvin,153322934,170000,1262,134542,4622,149,10567163,279948,372,0,134542
Mista Genshin,42671711,2190,204,6570,235,24,1180397,1061184,1471,3,6570
Dikshant Nagpure,98022,1,3,85,2,0,3701,30066880,27418,0,85
Peaarl - Genshin Impact,177708694,15,4,21,3,6,1108644,495219,2741,139,21
Voltyea,136601121,205000,515,155975,4462,205,8630452,269135,298,0,155975
Zibai Impact ,220065,1,2,18,1,0,2103,6367104,13709,0,18
Barbruh,150134736,219,19,29194,2239,49,13869203,47154042,140157,77,29194
Ley,113767290,281,16,8524,855,14,5313823,10730168,41712,17,8524
Susu Stories,280501442,35300,3421,5148,193,13,6488691,51586,74,0,5148
Honkai: Star Rail,149966436,2710000,721,9416166,194932,4553,7363203,1229063,986,0,9416166
원신,217020391,313000,2003,52424,1648,68,9045607,59245,72,0,52424
