channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
さいとうなおき2,96199479,812000,622,231361,10044,170,5107202,100786,169,0,231361
Sparkling K,269080159,313,12,240,6,1,7688112,271229,262,1,240
huongkhvn crochet,454033051,19300,337,3235,132,9,8047751,59290,93,0,3235
BigGaming64,223348015,974000,1047,513710,22573,207,16776655,186564,317,0,513710
Bluu224,136459792,11300,642,8312,246,16,1845604,260193,298,0,8312
Genshin Impact & Chill,58484345,18,554,4,0,0,4517049,78606,0,0,4
KIERU,129722673,164000,15,3561247,134059,1700,12481547,7681175,11206,3,3561247
Team Bangkit Malaysia,261566477,716000,507,109587,4495,248,18388674,54139,86,0,109587
No_Tables,125011386,267000,64,1313663,56798,899,9418916,1740372,2916,1,1313663
Genshin Impact Gamer,93531853,21,310,8,1,0,981805,134753,652,0,8
CatWithBlueHat,322702982,399000,696,479438,30349,998,4895174,425039,1042,0,479438
Nythr1x,1925662,12,21,146,3,0,57354,4303690,3427,0,146
bennettarcontepyro,213867419,70700,3867,26799,3206,155,7962075,134081,621,0,26799
Genshin impact Tv,148046659,10,6,11,2,0,70347,389100,2741,0,11
Raiyeiji Genshin Impact,188069665,13900,584,10093,403,96,2389591,256847,397,2,10093
Dar,130236165,76,14,3332,66,8,1708201,15508180,11905,36,3332
Genshin Media Channel,465186380,792,29,12565,375,13,1630153,5611858,6491,5,12565
~KAYO,808188,26,13,0,0,0,0,0,0,0,0
Squasha Streams,387804448,181000,846,9723,261,23,3801600,19001,19,0,9723
Zach Aguilar,317247080,464000,122,789514,53944,1797,13599488,601881,1593,1,789514
Neazho,238604413,160000,1607,58482,2513,103,16408015,129292,215,0,58482
Sonius - Genshin Impact,193049970,17700,1108,24502,172,39,1383654,489663,133,0,24502
Kinkle,406784253,69600,1138,1100923,38114,390,1504761,5595219,7507,1,1100923
西園チグサ / Nishizono Chigusa,196020828,682000,2675,268120,13563,72,10024658,139063,272,0,268120
genshin impact dtvinh,172306857,75,42,1097,6,1,15466169,5173861,1096,4,1097
Aliciaxdeath,135208256,347000,1455,59777,2637,222,4826975,60936,104,0,59777
HookHuukGaming,187468030,170000,3462,50321,1530,26,9397808,104705,123,0,50321
Teyvat Tribune,43300902,19600,164,16161,576,81,1544846,291663,402,1,16161
Anhktay,249181193,615000,477,61130,1572,62,1113807,35159,35,0,61130
Anigami,178590997,73700,152,150657,6703,224,193475,723088,1246,1,150657
Kú Đêm Gamer,380147199,157000,1973,31584,685,165,7018315,71160,59,0,31584
SeyonGod,112882548,23600,109,1359339,21828,182,9359997,20374418,12679,2,1359339
MatraS - Genshin Impact,127413566,33,23,341,8,5,173399,3655189,3323,52,341
taNNa,141615359,293000,679,216635,16126,286,10204941,261535,754,0,216635
M0rik3,3627955,34,21,1486,43,1,138963,15459994,17337,10,1486
Genshin Impact,100730741,3,2,146,5,0,10794,17214762,22848,0,146
KQM ,165510960,45100,109,43383,2011,169,16302276,340261,611,1,43383
Mishka Rae,297983277,36100,9312,37903,760,72,20596613,371394,288,0,37903
AxeSAY,289663226,473000,972,188409,7503,396,5509996,140899,217,0,188409
Kaitlyn Flames,243359205,1160000,54,4071321,121619,10987,25385247,1241500,1437,3,4071321
Hamelin_哈米伦的弄笛者,183681076,566000,112,2056192,86217,1277,15263507,1285040,2088,0,2056192
♡-NeoCream-♡ ,16023647,86,12,1199,35,11,1369037,4931626,5579,44,1199
Kunitake Lyre,52599,1,1,17,3,2,0,6013376,41127,696,17
Genshin Wade,132829538,80,20,193,11,0,3825788,853368,1884,0,193
Genshin Impact lol,189978645,18,3,93,4,0,7118,1827594,3046,0,93
ON Game,283084101,389000,3725,150052,7736,307,6923762,136446,272,0,150052
Ame / Yū 🥀,24907256,534,326,2152,69,7,2537063,1425510,1771,4,2152
Genshin Impact Clips,172495542,2,2,100,2,0,173503,17686400,13709,0,100
Cosplayer in the World,404637,17,14,964,8,0,48888,20058458,6451,0,964
Finana Ryugu 【NIJISANJI EN】,156658382,477000,1292,63403,4157,60,7505509,47017,119,0,63403
Sekapoko - Genshin Impact,175233244,124000,604,144035,10183,146,14108218,410880,1125,0,144035
Brooke♡,77099103,3170,0,0,0,0,0,0,0,0,0
CY YU VODS,189748994,556000,3146,674262,64949,384,9719555,428966,1601,0,674262
Hina Impact,85785117,1200,214,16181,1499,40,5973528,4769727,17124,11,16181
`•Diluc genshin impact`•,11040619,2,1,1132,21,0,0,200210048,143944,0,1132
Проходження Genshin Impact,14034138,3,136,328,4,0,247666,38674261,18278,0,328
Zenon || Lohen's #1 Fan,8071476,20,9,73,2,2,812124,1291107,1370,34,73
TomFront,281660381,2400,270,6406,253,8,8723479,944158,1445,1,6406
Darkos88,309395712,112000,1030,594116,41495,1053,5676233,1876388,5079,3,594116
Fayato,141582160,24700,881,84115,4180,180,11233144,1204608,2319,2,84115
Aspect - Genshin Impact,173804866,7,1,175,8,2,0,8843200,15667,99,175
The Unlikely Genshin Gamer,109001551,13500,75,36705,1666,188,10314435,961747,1691,4,36705
Sirocco | Genshin Impact,5726656,2,151,16,0,0,470707,2829824,0,0,16
R0ixy Dragony,339350581,256000,7697,11376,303,110,12017011,15718,16,0,11376
Eakes,202367513,147000,605,314533,10499,534,6239199,756864,979,1,314533
Genshin impact channel yt,141768915,2,1,18,4,5,0,3183552,27418,870,18
Lohen Archive,632355,1,1,99,1,0,0,35019072,13709,0,99
Mocca Impact,174036874,4820,56,20989,557,121,4121603,1540331,1584,8,20989
Dominiku,98908057,4500,49,38039,1607,26,1931390,2990102,4895,2,38039
Sagi,355074320,79000,1264,19554,1091,56,20494688,87554,189,0,19554
XiaoTao,130224510,97500,547,75027,2687,169,7603002,272196,377,0,75027
Lili,168228254,18,39,3,0,0,401712,58954,0,0,3
𝙏𝙃𝙀 𝙆𝙉𝘼𝙑𝙀⚔︎,129183,7,4,0,0,0,0,0,0,0,0
