channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration
GameMoments4K,1775201524,3380,531,22869,472,41,1851,3063807,0,580782,19978,1108,5940
GHOST89,1775201522,32200,193,49368,1218,47,772,86810741,0,580782,19978,1108,5940
Gingy,1775201523,514000,121,1895699,30179,1286,6916,126113491,0,580782,19978,1108,5940
The Wacky Teen,1775201517,332000,610,49903,924,217,6263,81399645,0,580782,19978,1108,5940
HỒ SƠ SINH HỌC,1775201519,44900,151,129397,2065,135,1289,27403308,0,580782,19978,1108,5940
Neon Slice,1775201515,102000,2855,135696,3049,399,4055,25686107,0,580782,19978,1108,5940
The7kMaster,1775201521,385000,205,381980,16482,693,920,79664509,0,580782,19978,1108,5940
BEQA,1775201538,84200,879,126104,1818,157,624,2574283,0,580782,19978,1108,5940
spicee,1775201526,28800,182,125284,2608,330,6541,3632664,0,580782,19978,1108,5940
SIGMUS,1775201532,18300,278,14966,316,36,3033,3058774,0,580782,19978,1108,5940
Weiss Network TV,1775201534,161000,862,208769,1035,39,10723,166014810,0,580782,19978,1108,5940
Asteroid,1775201530,22300,928,31060,435,78,188,154454798,0,580782,19978,1108,5940
MKIceAndFire,1775201529,4610000,7908,1872113,25049,1916,26197,108293524,0,580782,19978,1108,5940
BabyZone,1775201535,1320000,2096,280419,3329,379,1410,153396468,0,580782,19978,1108,5940
NeddyTheNoodle,1775201539,254000,405,213316,7517,536,14000,5369783,0,580782,19978,1108,5940
Rubhen925,1775201547,554000,7098,253348,4035,770,5931,3078122,0,580782,19978,1108,5940
CoryxKenshin,1775201544,24200000,1753,11258532,389887,30310,6431,95153362,0,580782,19978,1108,5940
MiawAug,1775201549,25300000,4755,1452715,54285,4195,4063,1979241,0,580782,19978,1108,5940
Ducky Reloaded,1775201541,220000,20,323456,15593,1528,4780,2500297,0,580782,19978,1108,5940
AngryJoeShow,1775201549,3250000,4169,998907,35880,5248,1968,153755381,0,580782,19978,1108,5940
AFGuidesHD,1775201549,1680000,7377,93867,1664,225,1410,2524156,0,580782,19978,1108,5940
DMenor11,1775201550,2690000,3311,219923,17290,763,8289,2778096,0,580782,19978,1108,5940
Tmal,1775201550,582000,384,102998,4347,389,948,2288749,0,580782,19978,1108,5940
bings,1775201552,25700,615,151672,2715,51,2918,495087,0,580782,19978,1108,5940
theRadBrad,1775201570,13900000,8996,746589,29809,1688,4240,2305940,0,580782,19978,1108,5940
FA GAMEZ,1775201562,392000,1299,56756,672,41,14150,15006758,0,580782,19978,1108,5940
NotGamerFleet,1775201559,4300000,672,1201408,47929,3391,5865,99529354,0,580782,19978,1108,5940
Bob Lennon,1775201559,2020000,5267,138722,8908,406,3776,2907126,0,580782,19978,1108,5940
Optinoob,1775201566,81800,2279,15632,439,164,9043,349193398,0,580782,19978,1108,5940
berleezy,1775201560,2900000,1192,633376,27219,1394,5167,281085983,0,580782,19978,1108,5940
LivingDisaster,1775201565,3340,305,5710,155,29,14905,5728514,0,580782,19978,1108,5940
Markiplier,1775201564,38500000,5833,1712884,80006,3491,3332,992420,0,580782,19978,1108,5940
DashieGames,1775201570,7110000,3397,1092436,39902,1191,9683,189258388,0,580782,19978,1108,5940
Fire Mythx,1775201568,30500,308,34164,449,29,3390,18634666,0,580782,19978,1108,5940
All Game React,1775201567,3780,46,63132,1391,38,1116,2129540,0,580782,19978,1108,5940
Loco Banana,1775201569,1950,152,24484,693,233,2106,1092769,0,580782,19978,1108,5940
Special Moments Reactions,1775201575,1950,17,75758,1563,54,1679,3019000,0,580782,19978,1108,5940
Fail Game 2.0,1775201575,678000,1042,195957,20166,1080,4468,2605815,0,580782,19978,1108,5940
CorryWith2rs,1775201589,118000,35,545176,17280,690,5512,33665588,0,580782,19978,1108,5940
Kevduit,1775201584,1530000,864,669161,17123,914,1780,170246054,0,580782,19978,1108,5940
KhushDubGame,1775201606,52700,272,27132,1295,108,2277,3176627,0,580782,19978,1108,5940
Ruba,1775201593,128000,2469,67476,1427,249,738,3090612,0,580782,19978,1108,5940
ENFANT TERRIBLE,1775201600,485000,2782,643986,10479,1033,1908,16824789,0,580782,19978,1108,5940
Gremix Gaming,1775201599,919000,281,245487,4558,606,12551,140112681,0,580782,19978,1108,5940
FusionZGamer,1775201587,4900000,4922,215458,3343,615,6328,371334786,0,580782,19978,1108,5940
Dan Allen Gaming,1775201589,477000,3738,272158,4878,576,950,2670534,0,580782,19978,1108,5940
MELOO,1775201587,371000,1515,304914,3864,442,1275,157244620,0,580782,19978,1108,5940
RoyalProtoM,1775201600,1350000,377,25382,319,4,13270,885894,0,580782,19978,1108,5940
Rubius Z,1775201606,14200000,943,2604509,155880,4012,6998,169993454,0,580782,19978,1108,5940
ExoGhost,1775201603,384000,1603,137827,2296,372,5668,287831666,0,580782,19978,1108,5940
Qorygore,1775201611,3420000,2804,118781,2899,150,16071,763959,0,580782,19978,1108,5940
Slimecicle VODS,1775201611,407000,235,173166,5637,408,44767,1753750,0,580782,19978,1108,5940
Stormfall33,1775201612,390000,519,1358012,55599,838,2684,2117012,0,580782,19978,1108,5940
Evil Blitz,1775201612,112000,272,319283,11581,801,613,4206808,0,580782,19978,1108,5940
Lucky Salamander,1775201621,2730000,5698,83358,5283,223,8311,25547520,0,580782,19978,1108,5940
theMGamez,1775201614,110000,905,146341,1131,97,4070,123787981,0,580782,19978,1108,5940
Joe Bart Games,1775201621,1750000,573,498302,9160,423,11140,1007368,0,580782,19978,1108,5940
MorgansBasement,1775201613,71700,59,32017,825,91,9886,2677451,0,580782,19978,1108,5940
ToastedShoes,1775201621,1080000,971,1481564,23066,840,1202,106403618,0,580782,19978,1108,5940
مـلـزلـز MLZLZ,1775201624,3710000,1379,1531974,95861,4325,8564,108319402,0,580782,19978,1108,5940
MixiGaming,1775201623,8220000,3756,947157,13761,462,13372,95373213,0,580782,19978,1108,5940
Live Speedy,1775201619,16300000,2363,1851009,55784,2103,10747,96362639,0,580782,19978,1108,5940
Sirloin,1775201621,1570000,10993,103231,1370,280,7181,3084515,0,580782,19978,1108,5940
Kubz Scouts,1775201623,6530000,3135,1156752,44843,1889,6007,106993996,0,580782,19978,1108,5940
Gorguinni,1775201621,81200,150,98237,2984,202,1008,2632452,0,580782,19978,1108,5940
Windah Basudara,1775201621,19300000,6027,3179483,77242,3423,7127,92422921,0,580782,19978,1108,5940
Cytonox,1775201624,21000,161,44024,1161,193,1121,71994958,0,580782,19978,1108,5940
Z S D,1775201625,1220,281,28714,112,0,15902,1613274,0,580782,19978,1108,5940
DarkPlayer GamingTV,1775201626,2260000,5680,427367,11663,826,9633,5756271,0,580782,19978,1108,5940
Play Hunters,1775201627,47200,700,30416,485,118,1936,1944213,0,580782,19978,1108,5940
ZakkTheRipperTTV,1775201626,14800,761,27912,870,102,6954,2234915,0,580782,19978,1108,5940
