channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
Kịch Mật Đào,1775286990,55600,50,682230,2928,148,6789,788392,0,252159,54390,971,3633,682230
Tôi Review Phim Dạo,1775286971,12400,81,387630,1203,63,1234,1487993,0,252159,54390,971,3633,387630
Thánh Mê Phim Hay,1775286986,60600,227,130738,673,34,3509,3273604,0,252159,54390,971,3633,130738
Nhím Review Phim,1775286987,140000,82,109338,908,51,6849,1540516,0,252159,54390,971,3633,109338
NiNi Mê Phim,1775286974,10900,221,169994,702,28,1298,2073592,0,252159,54390,971,3633,169994
Cuồng Phim Review,1775286975,105000,162,1275751,3335,85,1122,5475599,0,252159,54390,971,3633,1275751
H2L Review,1775286981,29500,94,471502,2010,84,2776,1785622,0,252159,54390,971,3633,471502
Đậu Nành Review,1775286979,70500,121,86732,1662,47,9482,78169,0,252159,54390,971,3633,86732
Dưa Leo,1775286982,1010000,1013,279494,6544,811,893,11539600,0,252159,54390,971,3633,279494
Bơ Review,1775286982,126000,1623,244369,1906,91,1446,1803529,0,252159,54390,971,3633,244369
Động Phim Trung,1775286984,29400,105,168092,979,43,6218,1514526,0,252159,54390,971,3633,168092
Anh Bảy Review Phim,1775286994,269000,90,380006,3133,135,7464,785191,0,252159,54390,971,3633,380006
Tom Thiếu Gia,1775286989,308000,180,1184580,8412,350,7957,13070806,0,252159,54390,971,3633,1184580
Chú Cuội Review,1775286990,81500,536,1239435,0,87,2762,10400398,0,252159,54390,971,3633,1239435
Mèo Lười Review Phim,1775286991,22200,121,140031,882,66,6591,1449595,0,252159,54390,971,3633,140031
