channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,isVerify,predict_view,predict_like,predict_comment,view
GLOBAL MASTER CADD (GMC TV),172765908,5,18,0,0,0,0,0,0,0,0
Perfect Computer Engineer,311429066,221000,1007,63163,1486,35,24843247,159842,77,0,63163
Ayan Memon,168635796,6000,861,1645,31,4,2925241,153332,59,0,1645
MIT School of Engineering,351839958,33000,77,26470,552,11,35746132,448601,193,0,26470
NextGen Design,11186712,7,4,27,5,0,0,2157180,8272,0,27
Data Engineering,436812137,333000,600,12663,515,12,14698742,21267,17,0,12663
AIEngineering,209464655,77700,262,10617,224,35,3959758,76419,33,0,10617
SurfVim,10945442,10,1,0,0,0,0,0,0,0,0
Farabi Reviews,147855930,8,29,0,0,0,0,0,0,0,0
Rebel Base,100284882,14,4,62,0,0,1586862,2476762,0,0,62
Biomedical Engineering,398094920,29700,739,407,4,0,44446,7664,1,0,407
Engineering & Technology,164179437,8,33,8,0,0,119052,559269,0,0,8
Engineers Career Institute,49767501,48300,1336,0,0,0,0,0,0,0,0
TechInsight,175448037,127000,1610,4604,152,14,39292925,20274,13,0,4604
Firewall Logic,47046924,1,15,4,0,0,2113020,2237076,0,0,4
Civil Engineering Hacks,57013108,618,65,214,7,1,5241450,193662,131,0,214
Interesting Engineering,326835839,1680000,1552,50144,1079,84,7140805,16692,7,0,50144
5-MINUTES  NOTES,190755320,196,49,89,11,1,223351,253953,650,2,89
TheEngineer,226838319,207,24,1387,21,5,2854823,3747372,1174,10,1387
Gear Institute Mechanical Engineering Videos,498417641,536000,2940,37784,1068,55,18011910,39424,23,0,37784
Tamizhaga Engineering,155670347,624,69,107,6,1,22162554,95900,111,0,107
Engineering Facts,236465076,1660000,763,804776,36591,436,15024206,271136,255,0,804776
Malnad College of Engineering,73345283,1090,191,292,11,0,0,149822,116,0,292
Brewing stories,83117951,390,12,3010,277,36,0,4316409,8226,38,3010
Coreconcepts:engineering,28042820,3540,87,12280,192,43,2484294,1940063,628,5,12280
Engineering Viewers,276121921,8,5,0,0,0,0,0,0,0,0
Bidya Bhandar Computer Institute - Chhatia,434106951,741,61,89,3,0,1759256,67172,46,0,89
Hunter Learning Channel,363437112,29700,322,3518,0,0,1947476,66246,0,0,3518
Abhishek Sir Chemistry ASC,162254103,424000,2883,41953,1730,132,12475856,55337,47,0,41953
Spreading Civil knowledge,100473944,8,1,0,0,0,0,0,0,0,0
computerEngineering,26740131,76,83,602,10,0,437962,4429999,1523,0,602
⚡ AllVisuals4U | 3D Printing & Design Shorts,172173183,2180,339,3145,41,1,5845851,806835,217,0,3145
Fireball Tool,243593488,1020000,644,2537538,52208,211,35876096,1391339,592,0,2537538
Software engineer ,74444930,1,5,0,0,0,0,0,0,0,0
