channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
Oxy,1775209361,100000,258,141929,4492,89,971,5659980,1,454248,10753,250,2571,141929
Dittozkul,1775209361,168000,609,510138,9226,379,1591,7842198,1,454248,10753,250,2571,510138
Thinking Man's Valorant,1775209361,126000,1791,58749,2121,138,2444,8277410,1,454248,10753,250,2571,58749
VALORANT Champions Tour Pacific,1775209361,294000,2171,291303,5090,44,4563,6727724,1,454248,10753,250,2571,291303
WootVL,1775209361,41900,256,26313,960,37,5032,5837570,1,454248,10753,250,2571,26313
Airen,1775209362,306000,107,837159,20574,435,2445,8803453,1,454248,10753,250,2571,837159
Brim Cánh Cụt,1775209362,101000,1465,182946,5095,39,1702,8230798,1,454248,10753,250,2571,182946
Noia,1775209362,17700,122,58715,1615,18,601,4336305,1,454248,10753,250,2571,58715
Rednight,1775209362,141000,350,106963,2519,68,755,22653159,1,454248,10753,250,2571,106963
Harsh Khelraay,1775209362,138000,2464,96937,6160,67,132,16252968,1,454248,10753,250,2571,96937
Daily Valorant,1775209362,208000,2153,63981,785,83,1879,1116276,1,454248,10753,250,2571,63981
Ache,1775209363,46600,906,85304,1435,36,1695,3427193,1,454248,10753,250,2571,85304
VALORANT Vietnam,1775209363,130000,2658,57902,1239,17,43,8993399,1,454248,10753,250,2571,57902
Valorant Vision,1775209363,91200,510,52452,855,25,763,5527941,1,454248,10753,250,2571,52452
SirMaza,1775209363,287000,2585,69548,2785,58,1245,2870517,1,454248,10753,250,2571,69548
Swolabear,1775209363,14200,237,192805,3586,208,2044,4076325,1,454248,10753,250,2571,192805
VALORANT India & South Asia,1775209363,28900,1465,69113,1631,20,60,7505499,1,454248,10753,250,2571,69113
MrLowlander,1775209363,772000,859,182422,7637,130,535,7881244,1,454248,10753,250,2571,182422
kizati,1775209363,19000,255,120431,3215,115,762,2446300,1,454248,10753,250,2571,120431
Peterbot VODS,1775209363,12500,56,39975,646,57,12635,1426629,1,454248,10753,250,2571,39975
Extinct,1775209363,1670,144,66974,2142,62,1578,9514773,1,454248,10753,250,2571,66974
VALORANT Esports LA,1775209364,57000,3854,44797,882,14,19922,1788610,1,454248,10753,250,2571,44797
sangtraan,1775209364,732000,1976,439087,7830,185,1711,14547599,1,454248,10753,250,2571,439087
Koroda,1775209364,15100,110,551161,8855,217,1267,6417525,1,454248,10753,250,2571,551161
Valec,1775209364,4460,11,51052,1410,87,863,5981647,1,454248,10753,250,2571,51052
HK15 plays,1775209364,40100,46,37127,1335,20,468,14910148,1,454248,10753,250,2571,37127
NRG VALORANT,1775209364,262000,982,595461,19477,165,279,5806800,1,454248,10753,250,2571,595461
ToRaN,1775209364,1000,70,7232,189,61,348,3182116,1,454248,10753,250,2571,7232
AminOnPC,1775209364,566000,371,1193117,41751,1169,866,6648499,1,454248,10753,250,2571,1193117
dessirous,1775209364,50500,200,88586,2074,54,841,2256393,1,454248,10753,250,2571,88586
Stable Ronaldo Live,1775209364,1090000,2196,202148,3794,98,2631,6932607,1,454248,10753,250,2571,202148
Valorant Skillz,1775209364,5400,287,18325,409,35,773,1527157,1,454248,10753,250,2571,18325
Alexander,1775209364,71800,42,358792,7852,315,2033,4848408,1,454248,10753,250,2571,358792
KgProz,1775209365,10200,68,75262,3113,66,578,5160566,1,454248,10753,250,2571,75262
Kaemi,1775209365,796000,1156,1210939,51405,434,318,13744083,1,454248,10753,250,2571,1210939
LrohVCT,1775209365,32500,59,140473,5112,247,2218,5350731,1,454248,10753,250,2571,140473
VALORANT Champions Tour EMEA,1775209365,201000,1694,166747,2094,12,15989,623072,1,454248,10753,250,2571,166747
Eclairs,1775209365,54300,1261,9786,414,14,7723,7943650,1,454248,10753,250,2571,9786
Derpin,1775209365,3230,59,7479,151,18,627,3967585,1,454248,10753,250,2571,7479
CHARLATAN | Radiant Coach,1775209365,113000,901,54350,2051,113,1773,4156468,1,454248,10753,250,2571,54350
crazyguyFPS,1775209365,110000,1207,71305,1772,23,3880,5391007,1,454248,10753,250,2571,71305
Nawy,1775209365,51200,111,98195,4014,355,589,5252405,1,454248,10753,250,2571,98195
overdosevl,1775209365,178000,346,207997,6273,289,742,7442894,1,454248,10753,250,2571,207997
Observo – Pro POVs,1775209365,1280,35,6292,92,8,1113,161076,1,454248,10753,250,2571,6292
root,1775209366,136000,17,1122111,25565,1019,888,12006120,1,454248,10753,250,2571,1122111
VALORANT Champions Tour Americas,1775209366,281000,2373,221751,5149,40,2747,6117777,1,454248,10753,250,2571,221751
