channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,isVerify,predict_view,predict_like,predict_comment,view
Genshin Impact Cutscenes,162919007,297,534,3880,246,5,8856223,0,4178433,12771,5,3880
weightless,219034560,48400,111,195368,5197,240,7592632,0,1291059,1655,1,195368
Conquer30,255098577,29800,1930,16070,350,87,1027196,0,172479,181,0,16070
Guin's Channel,38577075,164000,1775,78491,5978,78,3641998,0,153078,562,0,78491
Wei 🔅,251079613,339000,43,481786,32557,1730,16097691,0,454561,1480,1,481786
SevenPls,333542099,28900,132,86431,3628,282,8638403,0,956554,1935,3,86431
Tuonto,366953352,1510000,605,1678063,81213,1026,14783805,0,355442,829,0,1678063
Kiko,122149446,146000,1365,1131207,69586,802,11766805,0,2478149,7348,1,1131207
Gacha Gamer,192088002,405000,514,340564,9922,952,19133763,0,268956,377,0,340564
原神-Genshin-公式,207898256,2120000,2245,617958,22055,509,8455001,0,93231,160,0,617958
Genshin Impact Lofi - Topic,101642416,204,34,0,0,0,0,0,0,0,0,0
genshin impact,129524749,0,4,3,0,0,2200764,0,,,,3
Genshin Impact · Cloud - Topic,37545194,56,0,0,0,0,0,0,0,0,0,0
Hannif Channel,400099571,5730,1975,2057,48,4,2114129,0,114820,129,0,2057
Jadealy,124976847,342000,673,1292170,49499,546,3810500,0,1208458,2231,0,1292170
Genshin Impact Channel,172608838,0,1,9,0,0,0,0,,,,9
GenJhin's Genshin Impact Guides,162000565,1040,350,626,0,2,7321299,0,192521,0,0,626
MMOJACKX57,351498025,153000,9275,44326,2043,72,5806109,0,92662,205,0,44326
Visible,369555357,322000,87,1259562,91190,1394,13218300,0,1251128,4366,1,1259562
Suli,144134695,117000,1308,28163,738,163,15561474,0,76989,97,0,28163
HydraTV: Đạt Rất Nghiêm Túc,166143214,303000,2079,27403,852,179,1812002,0,28926,43,0,27403
tnbee,188143669,273000,499,1196062,20637,424,19497341,0,1401293,1165,0,1196062
Genshin Channel,77203419,49,165,42,0,0,6130734,0,274152,0,0,42
Amaan - Genshin Impact,145809506,2270,3,10589,783,124,172808,0,1491994,5318,17,10589
Dragon2,187827598,7840,43,98535,4589,160,12082553,0,4019876,9025,6,98535
KIERU,129647013,164000,15,3561072,134054,1700,12481547,0,6945045,12603,3,3561072
Stormz67,135278545,615000,89,6219066,347505,2188,4478635,0,3234359,8712,1,6219066
No_Tables,124935726,267000,64,884106,51658,635,9365595,0,1059086,2983,0,884106
Genshin Impact Gamer,93456193,21,310,292,5,0,767729,0,4447354,3671,0,292
CatWithBlueHat,322627322,399000,696,472636,30196,934,4895174,0,378871,1166,0,472636
Chiken,155559239,88500,87,412418,10909,637,6643313,0,1490501,1900,2,412418
Genshin impact Tv,147970999,10,6,11,2,0,70347,0,351828,3083,0,11
dillongoo,444958147,1450000,140,2006852,110138,2013,10747434,0,442675,1171,0,2006852
Raiyeiji Genshin Impact,187994005,13900,583,9996,398,95,2389591,0,230011,441,2,9996
Genshin Impact - Topic,212708117,528000,0,0,0,0,0,0,0,0,0,0
4K Genshin,164074848,67,35,2706,87,3,3414743,0,12917878,20021,14,2706
Genshin Media Channel,465110720,792,29,12562,375,13,1630153,0,5073081,7300,5,12562
Genshin Impact Story,7993157,1,3,7,1,1,80516,0,2238908,15419,320,7
Tenha,368132354,450000,1094,902729,51175,376,10713400,0,641627,1753,0,902729
Enthralpy,399487950,149000,162,1688870,121544,839,8278396,0,3625335,12577,1,1688870
Zach Aguilar,317171420,464000,122,789330,53938,1797,13599488,0,544100,1792,1,789330
Sonius - Genshin Impact,192974310,17700,1108,22187,162,37,1229914,0,400925,141,0,22187
genshin impact dtvinh,172231197,75,42,1097,6,1,15466169,0,4678251,1233,4,1097
Genshin Impact Muzik,98984118,0,9,95,1,0,409797,0,,,,95
Zome,119395474,11200,53,19483,1289,554,3162678,0,556385,1774,15,19483
Teyvat Tribune,43225242,19600,164,15889,546,79,1544846,0,259285,429,1,15889
PandaKot,422188155,202000,1912,183765,16741,571,16289199,0,290970,1277,0,183765
Exhausted Genshin,130497561,504,1662,1104,27,0,11260798,0,700610,826,0,1104
Anigami,178515337,73700,152,150656,6704,224,193475,0,653818,1402,0,150656
原神,148007618,318000,485,306921,7919,472,11260388,0,308700,383,0,306921
Genshin Impact,162677386,22,27,1593,13,0,158457,0,23159613,9111,0,1593
Mishka Rae,297907617,36100,9312,37897,760,72,20596613,0,335765,324,0,37897
Genshin Impact HD,342701875,12,58,13,1,1,599763,0,346497,1284,26,13
Zhongli's Realm,269662967,33700,249,9996,462,226,1395095,0,94871,211,2,9996
New life with genshin impact ,17520395,3,1,9,2,0,0,0,959532,10279,0,9
Genshin impact zone,9301393,113,43,14116,342,17,974193,0,39955025,46666,48,14116
HiroisLive,290319977,71500,874,22463,1410,119,6459271,0,100484,304,0,22463
Zannir,174665223,369000,246,1114589,80703,833,12659219,0,966110,3372,0,1114589
M’s Genshin Impact Adventure,159414846,11,50,100,3,1,5673084,0,2907672,4205,29,100
Hamelin_哈米伦的弄笛者,183605416,566000,112,1996012,78907,1201,9465097,0,1127937,2149,0,1996012
Toni,112094137,7030,52,19238,1631,253,2687658,0,875271,3577,11,19238
ON Game,283008441,389000,3725,312802,11881,402,14159140,0,257192,470,0,312802
Total Genshin Impact,105552396,5,12,145,5,0,3705994,0,9275476,15419,0,145
Hatake Fox,185728606,24800,191,25806,1432,227,10169600,0,332818,890,2,25806
Sekapoko - Genshin Impact,175157584,124000,604,133373,9707,113,14129899,0,344020,1207,0,133373
OverMos Channel,161301555,57100,2767,5099,79,29,16521137,0,28561,21,0,5099
Hina Impact,85709457,1200,213,16969,1555,41,6421477,0,4522860,19980,10,16969
Shimetsu,118335478,16100,1377,3412,150,12,1185798,0,67783,143,0,3412
Zy0x,354293233,860000,432,838738,44665,507,5951435,0,311936,800,0,838738
MistahFeet,141808803,382000,89,1443964,47344,2384,11394414,0,1209013,1910,1,1443964
ShiruTV_,184161749,40000,1699,15089,663,34,9684580,0,120653,255,0,15089
w i n t e r,185198944,142000,75,383040,19741,304,6967198,0,862767,2143,0,383040
Qiqi Genshin Impact,173042040,16200,871,38994,964,124,12758224,0,769876,917,2,38994
Fayato,141506500,24700,881,81536,4151,172,11219324,0,1055821,2591,2,81536
